Customer Name,Email,Address,Total Orders
Jaswinder Singh,JasSingh78@example.com,"37 Broadwide Road, Rummidge, RU6 7HG",57
Mark Harper,Mark.Harper@example.com,"Flat 5, Riverside House, Anytown, AN2 8NE",5
Melinda Nagy,MelN@example.com,"77 Melton Road, Somecity, SM12 1HE",152
Yichen Zhang,YZ41234253@example.com,"6/1 Braeside Court, Scotstoun, SC5 1HE",17
Mark Harper,Mark.Harper@example.com,"Flat 5, Riverside House, Anytown, AN2 8NE",5
Rebecca Jameson,BeckyJamzie@example.com,"The Old Rectory, Humbleside, Marksham, MA14 6LW",271
Willem deVries,deVries1955@example.com,"17 Parkside, Newtown-le-Willows, NL18 5TH",23
Jaswinder Singh,JasSingh78@example.com,"37 Broadwide Road, Rummidge, South Midlands, RU6 7HG",72
James Colton,JimmyColton@example.com,"19 Belton Street, Isle of Trees, IT2 5PQ",6
Ethel Trellis,EthelsPlace@example.com,"1 The Avenue, Foxley Estate, Rummidge, RU4 7WF",2
